pt_code,term_ja,reading_kana,reading_alt
10000002,１１βヒドロキシラーゼ欠損症,11ベータヒドロキシラーゼケッソンショウ,
10000005,尿中１７ケトステロイド,ニョウチュウ17ケトステロイド,
10000007,尿中１７ケトステロイド減少,ニョウチュウ17ケトステロイドゲンショウ,
10000009,尿中１７ケトステロイド増加,ニョウチュウ17ケトステロイドゾウカ,
10000011,尿中１７ケトステロイド正常,ニョウチュウ17ケトステロイドセイジョウ,
10000013,１７，２０－デスモラーゼ欠損症,1720デスモラーゼケッソンショウ,
10000014,１７αヒドロキシラーゼ欠損症,17アルファヒドロキシラーゼケッソンショウ,
10000020,２０，２２－デスモラーゼ欠損症,2022デスモラーゼケッソンショウ,
10000021,２１－ヒドロキシラーゼ欠損症,21ヒドロキシラーゼケッソンショウ,
10000028,５－ヌクレオチダーゼ上昇,5ヌクレオチダーゼジョウショウ,
10000029,５－α還元酵素欠損症,5アルファカンゲンコウソケッソンショウ,
10000044,腹部圧挫,フクブアツザ,
10000050,腹部癒着,フクブユチャク,
10000059,腹部不快感,フクブフカイカン,
10000060,腹部膨満,フクブボウマン,
10000077,腹部腫瘤,フクブシュリュウ,
10000081,腹痛,フクツウ,
10000084,下腹部痛,カフクブツウ,
10000087,上腹部痛,ジョウフクブツウ,
10000090,腹部硬直,フクブコウチョク,
10000094,腹部瘻孔修復,フクブロウコウシュウフク,
10000097,腹部圧痛,フクブアッツウ,
10000098,腹部内臓転位,フクブナイゾウテンイ,
10000099,腹壁膿瘍,フクヘキノウヨウ,
10000101,腹壁形成異常,フクヘキケイセイイジョウ,
10000111,外転神経手術,ガイテンシンケイシュジュツ,
10000125,異常な夢,イジョウナユメ,
10000133,異常便,イジョウベン,
10000153,異常分娩,イジョウブンベン,
10000154,胎児に影響する異常分娩,タイジニエイキョウスルイジョウブンベン,
10000159,異常体重減少,イジョウタイジュウゲンショウ,
10000162,手掌／足底皮線異常,シュショウソクテイヒセンイジョウ,
10000173,眼の異常感,メノイジョウカン,
10000188,異常体重増加,イジョウタイジュウゾウカ,
10000205,新生児ＡＢＯ溶血性疾患,シンセイジABOヨウケツセイシッカン,
10000206,ＡＢＯ不適合,ABOフテキゴウ,
10000209,妊娠流産,ニンシンリュウザン,
10000210,流産,リュウザン,
10000212,合併症を伴う完全流産,ガッペイショウヲトモナウカンゼンリュウザン,
10000217,不全流産,フゼンリュウザン,
10000218,合併症を伴う不全流産,ガッペイショウヲトモナウフゼンリュウザン,
10000220,人工流産,ジンコウリュウザン,
10000221,合併症を伴う完全人工流産,ガッペイショウヲトモナウカンゼンジンコウリュウザン,
10000223,合併症を伴う人工流産,ガッペイショウヲトモナウジンコウリュウザン,
10000225,合併症を伴う不完全人工流産,ガッペイショウヲトモナウフカンゼンジンコウリュウザン,
10000228,感染性流産,カンセンセイリュウザン,
10000230,稽留流産,ケイリュウリュウザン,
10000234,自然流産,シゼンリュウザン,
10000236,合併症を伴う完全自然流産,ガッペイショウヲトモナウカンゼンシゼンリュウザン,
10000238,合併症を伴う自然流産,ガッペイショウヲトモナウシゼンリュウザン,
10000239,合併症を伴う不全自然流産,ガッペイショウヲトモナウフゼンシゼンリュウザン,
10000242,切迫流産,セッパクリュウザン,
10000269,膿瘍,ノウヨウ,
10000272,細菌性膿瘍,サイキンセイノウヨウ,
10000279,膿瘍ドレナージ,ノウヨウドレナージ,
10000285,腸管膿瘍,チョウカンノウヨウ,
10000296,外耳膿瘍,ガイジノウヨウ,
10000297,眼瞼膿瘍,ガンケンノウヨウ,
10000305,唾液腺膿瘍,ダエキセンノウヨウ,
10000311,口腔膿瘍,コウクウノウヨウ,コウコウノウヨウ
10000317,無菌膿瘍,ムキンノウヨウ,
10000318,汗腺膿瘍,カンセンノウヨウ,
10000340,禁酒,キンシュ,
10000346,失算症,シッサンショウ,
10000349,表皮肥厚,ヒョウヒヒコウ,
10000350,黒色表皮腫,コクショクヒョウヒシュ,
10000351,ダニ症,ダニショウ,
10000358,進行性高血圧,シンコウセイコウケツアツ,
10000361,副耳,フクジ,
10000362,副手根骨,フクシュコンコツ,
10000364,副筋,フクキン,
10000368,副唾液腺,フクダエキセン,
10000369,事故,ジコ,
10000370,家庭内事故,カテイナイジコ,
10000372,労働災害,ロウドウサイガイ,
10000381,偶発的過量投与,グウハツテキカリョウトウヨ,
10000383,偶発的中毒,グウハツテキチュウドク,
10000389,調節障害,チョウセツショウガイ,
10000397,寛骨臼骨折,カンコツキュウコッセツ,
10000410,アセトン血症,アセトンケツショウ,アセトンケッショウ
10000451,無酸症,ムサンショウ,
10000456,酸塩基平衡,サンエンキヘイコウ,
10000457,酸塩基平衡異常,サンエンキヘイコウイジョウ,
10000458,酸塩基平衡正常,サンエンキヘイコウセイジョウ,
10000483,混合型酸塩基平衡障害,コンゴウガタサンエンキヘイコウショウガイ,
10000486,アシドーシス,アシドーシス,
10000489,高クロール血性アシドーシス,コウクロールケツセイアシドーシス,
10000496,ざ瘡,ザソウ,
10000501,集簇性ざ瘡,シュウゾクセイザソウ,
10000502,化粧品性ざ瘡,ケショウヒンセイザソウ,
10000503,嚢胞性ざ瘡,ノウホウセイザソウ,
10000507,乳児性ざ瘡,ニュウジセイザソウ,
10000511,職業性ざ瘡,ショクギョウセイザソウ,
10000513,膿疱性ざ瘡,ノウホウセイザソウ,
10000518,痘瘡状ざ瘡,トウソウジョウザソウ,
10000523,聴神経腫,チョウシンケイシュ,
10000524,聴神経腫切除,チョウシンケイシュセツジョ,
10000525,聴覚刺激検査,チョウカクシゲキケンサ,
10000526,聴覚刺激検査異常,チョウカクシゲキケンサイジョウ,
10000527,聴覚刺激検査正常,チョウカクシゲキケンサセイジョウ,
10000533,後天性心中隔欠損症,コウテンセイシンチュウカクケッソンショウ,
10000555,後天性陰嚢水瘤,コウテンセイインノウスイリュウ,
10000565,後天性免疫不全症候群,コウテンセイメンエキフゼンショウコウグン,
10000582,後天性気管食道瘻,コウテンセイキカンショクドウロウ,
10000583,末端部黒子様黒色腫,マッタンブコクシヨウコクショクシュ,マッタンブホクロヨウコクショクシュ
10000585,末端部黒子様黒色腫第１期,マッタンブコクシヨウコクショクシュダイ1キ,マッタンブホクロヨウコクショクシュダイ1キ
10000586,末端部黒子様黒色腫第２期,マッタンブコクシヨウコクショクシュダイ2キ,マッタンブホクロヨウコクショクシュダイ2キ
10000587,末端部黒子様黒色腫第３期,マッタンブコクシヨウコクショクシュダイ3キ,マッタンブホクロヨウコクショクシュダイ3キ
10000588,末端部黒子様黒色腫第４期,マッタンブコクシヨウコクショクシュダイ4キ,マッタンブホクロヨウコクショクシュダイ4キ
10000590,短頭合指症,タントウゴウシショウ,
10000591,アクロコルドン,アクロコルドン,
10000594,慢性萎縮性肢端皮膚炎,マンセイイシュクセイシタンヒフエン,
10000596,腸性肢端皮膚炎,チョウセイシタンヒフエン,
10000598,肢端疼痛症,シタントウツウショウ,
10000599,先端巨大症,センタンキョダイショウ,
10000605,高所恐怖症,コウショキョウフショウ,
10000606,先端硬化症,センタンコウカショウ,
10000613,ＡＣＴＨ産生性下垂体腫瘍,ACTHサンセイセイカスイタイシュヨウ,
10000614,光線角化症,コウセンカクカショウ,
10000616,光線痒疹,コウセンヨウシン,
10000620,放線菌症,ホウセンキンショウ,
10000621,放線菌性腹部感染,ホウセンキンセイフクブカンセン,
10000628,放線菌性肺感染,ホウセンキンセイハイカンセン,
10000629,放線菌性皮膚感染,ホウセンキンセイヒフカンセン,
10000630,活性化部分トロンボプラスチン時間,カッセイカブブントロンボプラスチンジカン,
10000631,活性化部分トロンボプラスチン時間異常,カッセイカブブントロンボプラスチンジカンイジョウ,
10000635,活性化部分トロンボプラスチン時間正常,カッセイカブブントロンボプラスチンジカンセイジョウ,
10000636,活性化部分トロンボプラスチン時間延長,カッセイカブブントロンボプラスチンジカンエンチョウ,
10000637,活性化部分トロンボプラスチン時間短縮,カッセイカブブントロンボプラスチンジカンタンシュク,
10000646,刺鍼法,シシンホウ,
10000647,急性腹症,キュウセイフクショウ,
10000709,急性散在性脳脊髄炎,キュウセイサンザイセイノウセキズイエン,
10000739,急性赤白血病,キュウセイセキハッケツビョウ,
10000746,妊娠時の急性脂肪肝,ニンシンジノキュウセイシボウカン,
10000748,急性熱性好中球性皮膚症,キュウセイネッセイコウチュウキュウセイヒフショウ,キュウセイネツセイコウチュウキュウセイヒフショウ
10000804,急性肝不全,キュウセイカンフゼン,
10000807,急性ＨＩＶ感染,キュウセイHIVカンセン,
10000830,急性白血病,キュウセイハッケツビョウ,
10000846,急性リンパ性白血病,キュウセイリンパセイハッケツビョウ,
10000847,急性リンパ性白血病（寛解期）,キュウセイリンパセイハッケツビョウカンカイキ,
10000860,急性巨核芽球性白血病,キュウセイキョカクガキュウセイハッケツビョウ,
10000871,急性単球性白血病,キュウセイタンキュウセイハッケツビョウ,
10000872,急性単球性白血病（寛解期）,キュウセイタンキュウセイハッケツビョウカンカイキ,
10000880,急性骨髄性白血病,キュウセイコツズイセイハッケツビョウ,
10000881,急性骨髄性白血病（寛解期）,キュウセイコツズイセイハッケツビョウカンカイキ,
10000890,急性骨髄単球性白血病,キュウセイコツズイタンキュウセイハッケツビョウ,
10000891,急性心筋梗塞,キュウセイシンキンコウソク,
10001019,急性前骨髄球性白血病,キュウセイゼンコツズイキュウセイハッケツビョウ,
10001022,急性精神病,キュウセイセイシンビョウ,
10001027,急性肺ヒストプラスマ症,キュウセイハイヒストプラスマショウ,
10001029,急性肺水腫,キュウセイハイスイシュ,
10001052,急性呼吸窮迫症候群,キュウセイコキュウキュウハクショウコウグン,
10001053,急性呼吸不全,キュウセイコキュウフゼン,
10001076,急性副鼻腔炎,キュウセイフクビクウエン,
10001084,急性ストレス障害,キュウセイストレスショウガイ,
10001115,アダムス・ストークス症候群,アダムスストークスショウコウグン,
10001130,アジソン病,アジソンビョウ,
10001136,声帯内転筋無力,セイタイナイテンキンムリョク,
10001141,腺癌,センガン,
10001150,胃腺癌,イセンガン,
10001152,再発胃腺癌,サイハツイセンガン,
10001153,胃腺癌第０期,イセンガンダイ0キ,
10001154,胃腺癌第１期,イセンガンダイ1キ,
10001155,胃腺癌第２期,イセンガンダイ2キ,
10001156,胃腺癌第３期,イセンガンダイ3キ,
10001167,結腸腺癌,ケッチョウセンガン,
10001197,子宮頚部腺癌,シキュウケイブセンガン,
10001229,アデノイド肥大,アデノイドヒダイ,
10001230,アデノイド切除,アデノイドセツジョ,
10001233,良性腺腫,リョウセイセンシュ,
10001242,梅毒性リンパ節症,バイドクセイリンパセツショウ,
10001243,硬化性腺症,コウカセイセンショウ,
10001244,子宮頚部腺扁平上皮癌,シキュウケイブセンヘンペイジョウヒガン,
10001245,肺腺扁平上皮癌,ハイセンヘンペイジョウヒガン,
10001247,再発肺腺扁平上皮癌,サイハツハイセンヘンペイジョウヒガン,
10001248,肺腺扁平上皮癌第０期,ハイセンヘンペイジョウヒガンダイ0キ,
10001249,肺腺扁平上皮癌第１期,ハイセンヘンペイジョウヒガンダイ1キ,
10001250,肺腺扁平上皮癌第２期,ハイセンヘンペイジョウヒガンダイ2キ,
10001251,肺腺扁平上皮癌第３期,ハイセンヘンペイジョウヒガンダイ3キ,
10001254,肺腺扁平上皮癌第４期,ハイセンヘンペイジョウヒガンダイ4キ,
10001256,アデノイド口蓋扁桃摘出,アデノイドコウガイヘントウテキシュツ,
10001257,アデノウイルス結膜炎,アデノウイルスケツマクエン,
10001260,アデノウイルス性上気道感染,アデノウイルスセイジョウキドウカンセン,
10001294,有痛性脂肪症,ユウツウセイシボウショウ,
10001296,不安を伴う適応障害,フアンヲトモナウテキオウショウガイ,
10001297,抑うつ気分を伴う適応障害,ヨクウツキブンヲトモナウテキオウショウガイ,
10001298,素行障害を伴う適応障害,ソコウショウガイヲトモナウテキオウショウガイ,
10001299,混合性不安抑うつを伴う適応障害,コンゴウセイフアンヨクウツヲトモナウテキオウショウガイ,
